ECS_Version,Indexed,Field_Set,Field,Type,Level,Normalization,Example,Description
9.2.0-dev,True,base,@timestamp,date,core,,2016-05-23T08:05:34.853Z,Date/time when the event originated.
9.2.0-dev,True,base,labels,object,core,,"{""application"": ""foo-bar"", ""env"": ""production""}",Custom key/value pairs.
9.2.0-dev,True,base,message,match_only_text,core,,Hello World,Log message optimized for viewing in a log viewer.
9.2.0-dev,True,base,tags,keyword,core,array,"[""production"", ""env2""]",List of keywords used to tag each event.
9.2.0-dev,True,agent,agent.build.original,keyword,core,,"metricbeat version 7.6.0 (amd64), libbeat 7.6.0 [6a23e8f8f30f5001ba344e4e54d8d9cb82cb107c built 2020-02-05 23:10:10 +0000 UTC]",Extended build information for the agent.
9.2.0-dev,True,agent,agent.id,keyword,core,,8a4f500d,Unique identifier of this agent.
9.2.0-dev,True,agent,agent.name,keyword,core,,foo,Custom name of the agent.
9.2.0-dev,True,agent,agent.type,keyword,core,,filebeat,Type of the agent.
9.2.0-dev,True,agent,agent.version,keyword,core,,6.0.0-rc2,Version of the agent.
9.2.0-dev,True,client,client.bytes,long,core,,184,Bytes sent from the client to the server.
9.2.0-dev,True,client,client.domain,keyword,core,,foo.example.com,The domain name of the client.
9.2.0-dev,True,client,client.geo.city_name,keyword,core,,Montreal,City name.
9.2.0-dev,True,client,client.geo.continent_code,keyword,core,,,Continent code.
9.2.0-dev,True,client,client.geo.continent_name,keyword,core,,North America,Name of the continent.
9.2.0-dev,True,client,client.geo.country_iso_code,keyword,core,,CA,Country ISO code.
9.2.0-dev,True,client,client.geo.country_name,keyword,core,,Canada,Country name.
9.2.0-dev,True,client,client.geo.location,geo_point,core,,"{ ""lon"": -73.614830, ""lat"": 45.505918 }",Longitude and latitude.
9.2.0-dev,True,client,client.geo.postal_code,keyword,core,,94040,Postal code.
9.2.0-dev,True,client,client.geo.region_iso_code,keyword,core,,CA-QC,Region ISO code.
9.2.0-dev,True,client,client.geo.region_name,keyword,core,,Quebec,Region name.
9.2.0-dev,True,client,client.geo.timezone,keyword,core,,America/Argentina/Buenos_Aires,Time zone.
9.2.0-dev,True,client,client.ip,ip,core,,,IP address of the client.
9.2.0-dev,True,client,client.mac,keyword,core,,00-00-5E-00-53-23,MAC address of the client.
9.2.0-dev,True,client,client.packets,long,core,,12,Packets sent from the client to the server.
9.2.0-dev,True,client,client.port,long,core,,,Port of the client.
9.2.0-dev,True,client,client.user.id,keyword,core,,S-1-5-21-202424912787-2692429404-2351956786-1000,Unique identifier of the user.
9.2.0-dev,True,client,client.user.name,keyword,core,,a.einstein,Short name or login of the user.
9.2.0-dev,True,client,client.user.name.text,match_only_text,core,,a.einstein,Short name or login of the user.
9.2.0-dev,True,container,container.id,keyword,core,,,Unique container id.
9.2.0-dev,True,destination,destination.bytes,long,core,,184,Bytes sent from the destination to the source.
9.2.0-dev,True,destination,destination.domain,keyword,core,,foo.example.com,The domain name of the destination.
9.2.0-dev,True,destination,destination.geo.city_name,keyword,core,,Montreal,City name.
9.2.0-dev,True,destination,destination.geo.continent_code,keyword,core,,,Continent code.
9.2.0-dev,True,destination,destination.geo.continent_name,keyword,core,,North America,Name of the continent.
9.2.0-dev,True,destination,destination.geo.country_iso_code,keyword,core,,CA,Country ISO code.
9.2.0-dev,True,destination,destination.geo.country_name,keyword,core,,Canada,Country name.
9.2.0-dev,True,destination,destination.geo.location,geo_point,core,,"{ ""lon"": -73.614830, ""lat"": 45.505918 }",Longitude and latitude.
9.2.0-dev,True,destination,destination.geo.postal_code,keyword,core,,94040,Postal code.
9.2.0-dev,True,destination,destination.geo.region_iso_code,keyword,core,,CA-QC,Region ISO code.
9.2.0-dev,True,destination,destination.geo.region_name,keyword,core,,Quebec,Region name.
9.2.0-dev,True,destination,destination.geo.timezone,keyword,core,,America/Argentina/Buenos_Aires,Time zone.
9.2.0-dev,True,destination,destination.ip,ip,core,,,IP address of the destination.
